symbol;interval;estimator;stop_loss;times_regression_profit_and_loss;features;final_value
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];253.41229457207712
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'ema_200p'];254.1539932062608
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'ema_200p'];254.35538237640029
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_quote_asset_volume'];254.43015445826276
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p'];255.22916674477622
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume', 'rsi'];255.9237347270663
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_200p'];257.5889710565534
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'rsi', 'ema_200p'];257.8743460706054
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'rsi', 'ema_24p', 'ema_200p'];258.14404427611186
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'rsi', 'ema_24p'];258.2619037610995
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'ema_24p'];258.2835887187153
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];258.50762305389054
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_200p'];258.73233280977826
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];260.2239604878218
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades'];260.30248759591
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume', 'rsi', 'ema_200p'];261.07533798160324
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_200p'];261.1348046375525
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'ema_200p'];261.22314924761315
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume'];262.743416354993
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p'];262.845977175527
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume'];264.2554160807218
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_24p', 'ema_200p'];265.7796192743925
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p', 'ema_200p'];266.32318312832956
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'rsi', 'ema_24p'];267.22391767272507
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];267.7577529744704
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];268.49999106679365
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'ema_24p'];269.21431476938375
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_200p'];269.79212843513073
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p'];270.96903213536336
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi'];271.37770973382067
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'taker_buy_quote_asset_volume', 'rsi', 'ema_200p'];273.59600700547264
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'rsi'];274.6298371184096
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];275.1213856369481
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'rsi', 'ema_200p'];275.4372753124433
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];275.4546203300755
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'rsi'];277.62922415184556
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];278.36836679147024
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'taker_buy_quote_asset_volume', 'rsi'];279.16863390253695
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];279.75905582282394
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'rsi'];281.77186640390505
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_quote_asset_volume'];283.0551484775333
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'rsi', 'ema_24p'];283.1829856638906
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];283.5871476476067
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'taker_buy_quote_asset_volume', 'ema_24p'];284.0226861239355
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'ema_24p', 'ema_200p'];285.26875889023006
